id,name,pos_categ_ids,standard_price,barcode,default_code,list_price,PRECIO,PRECIO Oferta,description_ecommerce,is_favorite,is_published,LISTA RÍO,CONTEO,Ancho (cm),Fondo (cm),Alto (cm),Material Principal,WHSAL/Stock,WHSAL/Apartados,T1/San Pedro,T2/Satélite,T3/Crea,T4/Río,CONS/Liliana,CONS/Mario,CONS/Lalo,W24 SELLOUT,W25 SELLOUT,W26 SELLOUT,W27 SELLOUT,W28 SELLOUT,W29 SELLOUT,W30 SELLOUT,PEDIDOS JUNIO,Ubicaciones_App
__export__.product_template_854_00bcbd0a,Acordeón,Natura / Plantas / Suculentas,10,164892422562,PC0002,20,"$20 ",,"Sol / Sombra parcial. Riego moderado, dejar secar tierra. Proteger de heladas fuertes.",TRUE,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,
__export__.product_template_855_2ed26cc4,"Acordeón Doble, Collar de Botones",Natura / Plantas / Suculentas,10,994774694250,PC0003,20,"$20 ",,"Sol / Luz brillante. Riego moderado, dejar secar tierra. Proteger de heladas.",TRUE,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,
__export__.product_template_863_ed20ca54,Agave Azul,Natura / Plantas / Suculentas,200,566016335330,PG0011,400,"$400 ",,"Pleno sol. Riego muy escaso, tolerante a sequía. Resistente a heladas ligeras.",TRUE,,,,#N/A,#N/A,#N/A,,5,,,,,,,,,,,,,,,,,PRINCIPAL-P2-16.2:5
__export__.product_template_567_4f15c9f2,Asiento Tapizado Banco Tikal,,0,875139846565,,1,"$1 ",,,TRUE,,,,#N/A,#N/A,#N/A,,2,,,,,,,,,,,,,,,,,UNDEFINED.0:2 | PRINCIPAL-PB-1.1:2
__export__.product_template_65_2104239e,Banca Ameli,Bancas,"1,173.00",467580231560,SBA00100AM0,"3,300.00","$3,300 ",,,TRUE,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,
__export__.product_template_571_517c5c9c,Banca Baúl Rústica,Bancas,0,548975465752,,"5.500,00","$5,500 ",,,TRUE,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,
__export__.product_template_196_910fbed3,Banca Hera  Rowdy Pewter,Bancas,"4,336.00",738910205677,SBA00101RP0,"13,419.00","$13,419 ",,,TRUE,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,
__export__.product_template_721_280eebc6,Banca Irepan Baúl Ch,Bancas,0,654365468214,,"6,500.00","$6,500 ",,,TRUE,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,
__export__.product_template_251_eb12d8ee,Banca Irepan Baúl Gde,Bancas,0,721927330184,SBA00102RU0,"8,500.00","$8,500 ",,,TRUE,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,
__export__.product_template_694_1ec5925f,Banca Ladis,Bancas,0,845149864547,,"4,800.00","$4,800 ",,,TRUE,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,
